Object ID,SMILES
MG+2,[Mg+2]
N3-O-disulfo-D-glucosamine,O=S(=O)(O)NC1C(O)OC(CO)C(O)C1OS(=O)(=O)O
N6-O-disulfo-D-glucosamine,O=S(=O)(O)NC1C(O)OC(COS(=O)(=O)O)C(O)C1O
N-5-PHOSPHORIBOSYL-ANTHRANILATE,O=C(O)c1ccccc1NC1OC(COP(=O)(O)O)C(O)C1O
CPD-12274,CC(=O)NC1C(OC2C(CO)OC(O)C(N)C2O)OC(CO)C(O)C1O
ACETYL-GLU,CC(=O)NC(CCC(=O)O)C(=O)O
CPD-469,CC(=O)NC(CCC=O)C(=O)O
N-ALPHA-ACETYLORNITHINE,CC(=O)NC(CCCN)C(=O)O
N-ACETYL-GLUTAMYL-P,CC(=O)NC(CCC(=O)OP(=O)(O)O)C(=O)O
N-ACETYLNEURAMINATE,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO
CARBAMYUL-L-ASPARTATE,NC(=O)NC(CC(=O)O)C(=O)O
N-sulfo-D-glucosamine,O=S(=O)(O)NC1C(O)OC(CO)C(O)C1O
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE,O=CNCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O
NA+,[Na+]
NIACINE,O=C(O)c1cccnc1
NUKED-PENTOSE-RING,OCC1OCC(O)C1O
ACETYLSERINE,CC(=O)OCC(N)C(=O)O
O-PHOSPHO-L-HOMOSERINE,NC(CCOP(=O)(O)O)C(=O)O
O-SUCCINYL-L-HOMOSERINE,NC(CCOC(=O)CCC(=O)O)C(=O)O
OROTATE,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
OROTIDINE-5-PHOSPHATE,O=C(O)c1cc(=O)[nH]c(=O)n1C1OC(COP(=O)(O)O)C(O)C1O
OXALACETIC_ACID,O=C(O)CC(=O)C(=O)O
OXALO-SUCCINATE,O=C(O)CC(C(=O)O)C(=O)C(=O)O
PALMITATE,CCCCCCCCCCCCCCCC(=O)O
PHENANTHRENE-RING,c1ccc2c(c1)ccc1ccccc12
PHOSPHO-ENOL-PYRUVATE,C=C(OP(=O)(O)O)C(=O)O
PORPHOBILINOGEN,NCc1[nH]cc(CCC(=O)O)c1CC(=O)O
PORPHYRIN-RING,C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C=C4)C=C3)C=C1
PREPHENATE,O=C(O)C(=O)CC1(C(=O)O)C=CC(O)C=C1
PROPIONATE,CCC(=O)O
PTERIDINE-RING,c1cnc2ncncc2n1
PURINE-RING,c1ncc2[nH]cnc2n1
PUTRESCINE,NCCCCN
PYRIDINE-RING,c1ccncc1
PYRIDOXAL_PHOSPHATE,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
PYRIDOXINE-5P,Cc1ncc(COP(=O)(O)O)c(CO)c1O
PYRUVATE,CC(=O)C(=O)O
QUINOLINATE,O=C(O)c1cccnc1C(=O)O
RIBOFLAVIN,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,C[S+](CCC(=O)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
ADENOSYL-HOMO-CYS,Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
S-ADENOSYLMETHIONINE,C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
CPD-11281,NC(CCC(=O)NC(CSS)C(=O)NCC(=O)O)C(=O)O
SELENITE,O=[Se](O)O
CPD0-1561,NC(C[SeH])C(=O)O
SHIKIMATE,O=C(O)C1=CC(O)C(O)C(O)C1
SHIKIMATE-5P,O=C(O)C1=CC(OP(=O)(O)O)C(O)C(O)C1
STEARIC_ACID,CCCCCCCCCCCCCCCCCC(=O)O
STERONE-RING,C1CCC2C(C1)CCC1C3CCCC3CCC21
SUC,O=C(O)CCC(=O)O
SULFATE,O=S(=O)(O)O
THIAMINE-P,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1
THYMINE,Cc1c[nH]c(=O)[nH]c1=O
12-Hydroxyjasmonates,O=C(O)CC1CCC(=O)C1CC=CCCO
UMP,O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1
URACIL,O=c1cc[nH]c(=O)[nH]1
UREA,NC(N)=O
URIDINE,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
Vernolates,CCCCCC1OC1CC=CCCCCCCCC(=O)O
XANTHINE,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
XANTHOSINE,O=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1
XANTHOSINE-5-PHOSPHATE,O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
